,count,values
ClinicalDocument.component.structuredBody.component.section.entry.procedure.id.root,276,"['1.3.6.1.4.1.22812.11.0.100610.4.7', '1.3.6.1.4.1.22812.3.99930.3.4.7', '1.3.6.1.4.1.22812.3.9999341.3.4.7', '1.3.6.1.4.1.22812.4.111.0.4.7', '1886B155-D01F-4D90-8395-5BB79EA741CF', '2.16.840.1.113883.19', '2.16.840.1.113883.3.140.1.0.6.10.17.2', '2.16.840.1.113883.3.140.1.0.6.10.19', '2.16.840.1.113883.3.140.1.0.6.10.21', '2.16.840.1.113883.3.3388.1.1.1.310936.3.82682824.1.9', '2.16.840.1.113883.3.3388.1.1.1.310936.3.83899160.1.9', '2.16.840.1.113883.3.3388.1.1.1.310936.3.83900262.1.9', '2.16.840.1.113883.3.441.1.50.300011.51.26562.72', '2.16.840.1.113883.3.441.1.50.300011.51.26604.72', '2.16.840.1.113883.3.441.1.50.300011.51.26789.72', '2.16.840.1.113883.3.441.1.50.300011.51.26840.72', '2.16.840.1.113883.3.441.1.50.300011.51.26933.72', '2.201', '71dcc9c7-c08e-40bf-b029-75b111215701', '76be3bd8-b3cc-48cf-bb78-ecccd4cb5353', '7f12ca52-8632-4559-a994-8701722cb01b', '8adde4fa-20ae-4db5-a5cb-9942f0695c76', '97502608-440c-4ec1-9d8a-329a6ae11ac0', '9a6d1bac-17d3-4195-89c4-1121bc809b5a', 'FCFF8009-BD21-440F-8BEA-E76E19491DDD', 'a85eaf98-3129-4b2a-b5c2-ebcdf6efe10f', 'd68b7e32-7810-4f5b-9cc2-acd54b0fd85d', 'e401f340-7be2-11db-9fe1-0800200c9a66', 'ff23c225-e011-486a-a807-c2a6e572ecf7']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.specimen.specimenRole.classCode,12,['SPEC']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.observation.text.reference.value,302,"['#ALGTYPE_1', '#ALLSEV4166631', '#ALLSEV4166637', '#AllergyReaction_0', '#AllergyReaction_1', '#AllergyReaction_2', '#AllergyStatus_0', '#AllergyStatus_1', '#AllergyStatus_2', '#ID0EAAAAQABA', '#ID0EAAAATABA', '#ID0EAAABQABA', '#ID0EAABAQABA', '#ID0EAABARABA', '#ID0EAABBQABA', '#ID0EAABBRABA', '#ID0EAABCQABA', '#ID0EAAMACA', '#ID0EABBAQABA', '#ID0EACBAQABA', '#ID0EADAAPABA', '#ID0EADABPABA', '#ID0EADACPABA', '#ID0EBAAALACA', '#ID0EBAAAMACA', '#ID0EBAAARACA', '#ID0EBAAASACA', '#ID0EBAABMACA', '#ID0EBAABNACA', '#ID0EBAABPACA', '#ID0EBABAMACA', '#ID0EBACAKACA', '#ID0EBACAMACA', '#ID0EBACANACA', '#ID0EBACARACA', '#ID0EBACBKACA', '#ID0EBACBLACA', '#ID0EBACBMACA', '#ID0EBACBRACA', '#ID0EBACBSACA', '#ID0EBACCMACA', '#ID0EBACCNACA', '#ID0EBACCPACA', '#ID0EBADAPACA', '#ID0EBADBMACA', '#ID0EBDAAJACA', '#ID0EBDAAKACA', '#ID0EBDAALACA', '#ID0EBDAAMACA', '#ID0EBDAAOACA', '#ID0EBDAAQACA', '#ID0EBDABJACA', '#ID0EBDABOACA', '#ID0EBDABQACA', '#ID0EBEAAQACA', '#ID0EBEAARACA', '#ID0EBEABQACA', '#ID0EBEABRACA', '#ID0EBFBAGACA', '#ID0EBFBBKACA', '#ID0EBFBBLACA', '#ID0EBFBCJACA', '#ID0EBFBCLACA', '#ID0EBFBCMACA', '#ID0EBFBCOACA', '#ID0EBFBCQACA', '#ID0EBFBCRACA', '#ID0ECAPACA', '#ID0ECBMACA', '#ID0ECEABLACA', '#ID0ECEABMACA', '#ID0EDDAAMABA', '#ID0EDDACMABA', '#ID0EDFAAPABA', '#ID0EDFABPABA', '#ID0EDFACPABA', '#ID0EECAAEABA', '#ID0EECAAIABA', '#ID0EECABGABA', '#ID0EECABPABA', '#ID0EECABSABA', '#ID0EECACPABA', '#ID0EECACSABA', '#ID0EECADPABA', '#ID0EECADSABA', '#ID0EECAFPABA', '#ID0EECAFSABA', '#ID0EEDABMABA', '#ID0EEEAAGABA', '#ID0EEEAAOABA', '#ID0EEEAAPABA', '#ID0EEEAAQABA', '#ID0EEEAASABA', '#ID0EEEABQABA', '#ID0EEEACQABA', '#ID0EEEAEPABA', '#ID0EEEAESABA', '#PROBST5850509', '#PROBST5850513', '#PROBST5850517', '#PROBSTATUS_1', '#PROBSTATUS_2', '#Problem1', '#Problem2', '#Problem3', '#Problem4', '#Problem5', '#Problem6', '#Problem7', '#Problem8', '#Problem9', '#REACTION4166633', '#REACTION4166639', '#Severity-3355135', '#Severity-3355136', '#Severity-3355137', '#allergy1', '#allergy2', '#allergy4400511', '#allergy4400518', '#allergy4400523', '#allergy4560206', '#allergy4560213', '#allergy4560388', '#allergy4560391', '#allergyReactionID0', '#allergyReactionID1', '#allergyReactionID2', '#allergyReactionID3', '#allergyReactionID4', '#allergyStatusID0', '#allergyStatusID1', '#allergyStatusID2', '#allergyStatusID3', '#allergyStatusID4', '#problem1', '#problem2', '#problem54083810', '#problem54084992', '#problem54085044', '#problem55800798', '#problem55800891', '#problemStatusId0', '#problems', '#reaction1', '#reaction2', '#reaction3', '#ref_08dd88e6ddb74e26807f5b6de198a311_allergy_reaction_1', '#ref_08dd88e6ddb74e26807f5b6de198a311_allergy_reaction_2', '#ref_18431fe78db645059c39d47fc5e75a72_allergy_reaction_1', '#ref_18431fe78db645059c39d47fc5e75a72_allergy_reaction_2', '#ref_18431fe78db645059c39d47fc5e75a72_allergy_reaction_3', '#ref_1b66be49907b452183e833f334d33841_problem_status_1', '#ref_1b66be49907b452183e833f334d33841_problem_status_2', '#ref_21c30145fcbe417599f4cd27b21d56ff_problem_status_1', '#ref_21c30145fcbe417599f4cd27b21d56ff_problem_status_2', '#ref_21c30145fcbe417599f4cd27b21d56ff_problem_status_3', '#ref_21c30145fcbe417599f4cd27b21d56ff_problem_status_4', '#ref_30a92b4df1bb40e4ab79528d83e47f9d_allergy_reaction_1', '#ref_4159a22e5a3f4d65bdf25b0b9f634a2e_problem_status_1', '#ref_4159a22e5a3f4d65bdf25b0b9f634a2e_problem_status_2', '#ref_4159a22e5a3f4d65bdf25b0b9f634a2e_problem_status_3', '#ref_642546946fd9418090841cbfc0eeef99_problem_status_1', '#ref_642546946fd9418090841cbfc0eeef99_problem_status_2', '#ref_642546946fd9418090841cbfc0eeef99_problem_status_3', '#ref_7e1e01065b0740c2b9a9bb7b958b148e_allergy_reaction_1', '#ref_7e1e01065b0740c2b9a9bb7b958b148e_allergy_reaction_2', '#ref_7e1e01065b0740c2b9a9bb7b958b148e_allergy_reaction_3', '#ref_87caea4407194c6d9c4aac620cec65cd_allergy_reaction_1', '#ref_8ccabe5adafd483fa95f2a2e85f6c143_problem_status_1', '#ref_8ccabe5adafd483fa95f2a2e85f6c143_problem_status_2', '#ref_8ccabe5adafd483fa95f2a2e85f6c143_problem_status_3', '#ref_8ccabe5adafd483fa95f2a2e85f6c143_problem_status_4', '#ref_9d35a42c145e48199d8919c29808415d_allergy_reaction_1', '#ref_9d35a42c145e48199d8919c29808415d_allergy_reaction_2', '#ref_bddf1808a9d04775aba87b3fb6486b33_problem_status_1', '#ref_bddf1808a9d04775aba87b3fb6486b33_problem_status_2', '#ref_bf86cd7342744ae1b1c850043ff73f1e_problem_status_1', '#ref_bf86cd7342744ae1b1c850043ff73f1e_problem_status_2', '#ref_bf86cd7342744ae1b1c850043ff73f1e_problem_status_3', '#ref_bf86cd7342744ae1b1c850043ff73f1e_problem_status_4', '#ref_c6e54337be0d4491baf17263b2318c09_allergy_reaction_1', '#ref_c6e54337be0d4491baf17263b2318c09_allergy_reaction_2', '#ref_c6e54337be0d4491baf17263b2318c09_allergy_reaction_3', '#ref_d910f32f622b4615970569407d739ca6_problem_status_1', '#ref_d910f32f622b4615970569407d739ca6_problem_status_2', '#ref_d910f32f622b4615970569407d739ca6_problem_status_3', '#ref_d910f32f622b4615970569407d739ca6_problem_status_4', '#ref_d910f32f622b4615970569407d739ca6_problem_status_5', '#ref_d910f32f622b4615970569407d739ca6_problem_status_6', '#ref_da4a089520f141b49e2a48d984a191b2_problem_status_1', '#ref_da4a089520f141b49e2a48d984a191b2_problem_status_2', '#ref_da4a089520f141b49e2a48d984a191b2_problem_status_3', '#ref_da4d2ff995d94149a4c8c2726d39ce10_allergy_reaction_1', '#ref_da4d2ff995d94149a4c8c2726d39ce10_allergy_reaction_2', '#ref_ef4d3ea7efd044d08ad9c21ab0d2cdef_allergy_reaction_1', '#ref_ef4d3ea7efd044d08ad9c21ab0d2cdef_allergy_reaction_2', '#ref_ef4d3ea7efd044d08ad9c21ab0d2cdef_allergy_reaction_3', '#ref_f0cafaa7c51d474f832846ebb44aff08_problem_status_1', '#ref_f0cafaa7c51d474f832846ebb44aff08_problem_status_2', '#ref_f0cafaa7c51d474f832846ebb44aff08_problem_status_3', '#ref_f0cafaa7c51d474f832846ebb44aff08_problem_status_4', '#ref_f6940285f03c4825b9286206c4b4a896_problem_status_1', '#ref_f6940285f03c4825b9286206c4b4a896_problem_status_2', '#ref_f6940285f03c4825b9286206c4b4a896_problem_status_3', '#ref_f7d18f263b8d4722881d5eee75f497b1_problem_status_1', '#ref_f7d18f263b8d4722881d5eee75f497b1_problem_status_2', '#ref_f7d18f263b8d4722881d5eee75f497b1_problem_status_3', '#ref_f7d18f263b8d4722881d5eee75f497b1_problem_status_4', '#ref_fedd9be2c059487b9ec31f38b9e8a511_allergy_reaction_1', '#ref_fedd9be2c059487b9ec31f38b9e8a511_allergy_reaction_2', '#ref_ff1d6b9def7b47d598024672c632cb9e_allergy_reaction_1', '#ref_ff1d6b9def7b47d598024672c632cb9e_allergy_reaction_2', '#ref_ff1d6b9def7b47d598024672c632cb9e_allergy_reaction_3', '#severity1', '#severity2', '#severity3']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.act.entryRelationship.observation.negationInd,2,['false']
ClinicalDocument.component.structuredBody.component.section.entry.act.informant.assignedEntity.representedOrganization.addr.streetAddressLine.@value,2,"['99 Sycamore Street', 'Suite 3']"
ClinicalDocument.componentOf.encompassingEncounter.location.healthCareFacility.location.addr.country.@value,2,['US']
ClinicalDocument.informationRecipient.intendedRecipient.informationRecipient.name.suffix.@value,2,['MD']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.act.code.codeSystemName,6,"['DCM', 'HL7 RoleClassRelationship', 'InsuranceType Code', 'LOINC']"
ClinicalDocument.recordTarget.patientRole.addr.streetAddressLine.nullFlavor,32,['UNK']
ClinicalDocument.componentOf.encompassingEncounter.location.healthCareFacility.serviceProviderOrganization.telecom.use,2,['WP']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.participant.participantRole.playingEntity.name.given.@value,2,"['David', 'E', 'James', 'T']"
ClinicalDocument.legalAuthenticator.assignedEntity.addr.streetAddressLine.@value,268,"['1001 Village Avenue', '1002 Healthcare Dr', '1002 Healthcare Dr.', '1002 Healthcare Drive ', '1004 Healthcare Dr.', '1006 Healthcare Drive', '1009 Healthcare Dr.', '1034 Healthcare Dr.', '1044 Healthcare Dr.', '1400 Main Street Ste G', '21 North Ave.', 'Community General Hospital', 'Get Well Clinic', 'Local Community Hospital']"
ClinicalDocument.authenticator.assignedEntity.representedOrganization.addr.streetAddressLine.@value,2,['795 Horsham Road']
ClinicalDocument.informant.assignedEntity.assignedPerson.classCode,24,['PSN']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.participant.participantRole.addr.city.@value,8,"['Gainesville', 'Portland']"
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.text.@value,24,"['Blood Pressure - Diastolic', 'Blood Pressure - Systolic', 'Body Mass Index', 'Head Circumference', 'Heart Rate', 'Height', 'Respiratory Rate', 'Temperature', 'Weight']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.participant.participantRole.playingEntity.classCode,298,['MMAT']
ClinicalDocument.authenticator.assignedEntity.assignedPerson.name.given.nullFlavor,2,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.observation.entryRelationship.observation.entryRelationship.observation.entryRelationship.observation.value.code,2,['121112']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.code.code,324,"['282291009', '409586006', '416098002', '55607006', '64572001', 'ASSERTION']"
ClinicalDocument.component.structuredBody.component.section.entry.observation.value.translation.displayName,200,"['Asthma', 'Current every day smoker', 'Never smoker', 'No impairment', 'Unspecified sexually transmitted disease', 'Venereal disease, unspecified']"
ClinicalDocument.component.structuredBody.component.section.informant.assignedEntity.representedOrganization.addr.city.@value,194,['Portland']
ClinicalDocument.componentOf.encompassingEncounter.effectiveTime.value,14,"['20060828170821', '20130307']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.entryRelationship.supply.id.root,4,['1.2.3.4.56789.1']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.id.root,30,"['1.3.6.1.4.1.22812.11.99930.3.4.1.3', '1.3.6.1.4.1.22812.3.99930.3.4.1.3', '2.16.840.1.113883.3.3297.1.1.1.6.1.13', 'db734647-fc99-424c-a864-7e3cda82e703', 'fa250dbd-13ea-4ff7-845f-136b47d6bf7a']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.author.assignedAuthor.telecom.value,4,"['tel:+1-(555)123-4567', 'tel:+1-(555)555-1002']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.entryRelationship.contextConductionInd,2,['true']
ClinicalDocument.component.structuredBody.component.section.entry.act.informant.assignedEntity.telecom.use,2,['WP']
ClinicalDocument.recordTarget.patientRole.patient.classCode,42,['PSN']
ClinicalDocument.legalAuthenticator.assignedEntity.representedOrganization.name.@value,2,['NEXTGEN Medical Practice (Horsham)']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.informant.assignedEntity.representedOrganization.addr.city.@value,2,['Gainesville']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.observation.effectiveTime.high.value,4,"['20120806', '20120813']"
ClinicalDocument.componentOf.encompassingEncounter.encounterParticipant.templateId.root,2,['2.16.840.1.113883.10.20.6.2.2']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.substanceAdministration.negationInd,6,['true']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.classCode,312,"['BATTERY', 'CLUSTER']"
ClinicalDocument.documentationOf.serviceEvent.performer.assignedEntity.representedOrganization.addr.country.@value,212,"['US', 'United States of America']"
ClinicalDocument.component.structuredBody.component.section.entry.procedure.participant.participantRole.classCode,20,"['MANU', 'SDLOC']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturedMaterial.code.translation.codeSystem,142,"['2.16.840.1.113883.6.12', '2.16.840.1.113883.6.253', '2.16.840.1.113883.6.312', '2.16.840.1.113883.6.314', '2.16.840.1.113883.6.59', '2.16.840.1.113883.6.68', '2.16.840.1.113883.6.69', '2.16.840.1.113883.6.88', '2.16.840.1.113883.6.96']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.participant.participantRole.classCode,14,['MANU']
ClinicalDocument.component.structuredBody.component.section.text.table.tbody.tr.td.list.item.table.styleCode,40,['xtableWithinTable']
ClinicalDocument.component.structuredBody.component.section.text.content.@value,42,"['\n                     Ms. Jones, you have been seen by Dr. Henry Seven at Local Community Hospital from August 8th until August 13th 2012. You are currently being discharged from Local Community Hospital. Dr. Seven has provided the following instructions to you at this time; should you have any questions please contact a member of your healthcare team prior to discharge. If you have left the hospital and have questions, please contact Dr. Seven at 555-555-1002. \n                     Instructions:\n                  ', 'A two week history of nasal congestion, nasal discharge, facial pain, and intermittent fevers.', 'Advance Directive excluded/not available', 'Conscious sedation with propofol 200 mg IV ', 'Dr. Puffer please see this patient and evaluate by performing Pulmonary Function Tests', 'Extracted from:', 'Fever and chills - The fever and chills have been occurring for 2 days. There has been associated cough (green sputum).', 'No Administered Medications Recorded', 'No Advance Directives Recorded', 'No Functional or Cognitive Status Recorded', 'No History of Present Illness Recorded', 'No Information About Instructions', 'No Information About Procedures', 'No Information About Results', 'No Information About Social History', 'No Instructions Recorded', 'No Physical Exam Recorded', 'No Reason for Visit was given.', 'No Review of Systems Recorded', 'Patient Stated Reason for visit - Headache', 'Pulmonary function tests\nschedule in the next week', 'Reason For Referral excluded/not available', 'Reason For Visit excluded/not available', 'Referral']"
ClinicalDocument.component.structuredBody.component.section.entry.act.effectiveTime.center.value,20,"['20000421', '20120813', '20121002000000', '20130212114100', '20130215102900']"
ClinicalDocument.legalAuthenticator.assignedEntity.assignedPerson.name.given.nullFlavor,2,['UNK']
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.observation.templateId.root,224,['2.16.840.1.113883.10.20.22.4.19']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.act.entryRelationship.observation.informant.assignedEntity.representedOrganization.name.@value,2,['Madison Medical Center P. A.']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.consumable.manufacturedProduct.manufacturerOrganization.name.@value,24,"['Aventis Pasteur Inc', 'CSL Behring, Inc', 'GlaxoSmithKline', 'Health LS - Immuno Inc.', 'Influenza Vaccine Company', 'MERCK SHARP & DOHME', 'Medication Factory Inc.', 'Merck &Co., Inc.', 'Merck And Co., Inc.', 'Merck and Co., Inc.', 'Vaccine Company']"
ClinicalDocument.component.structuredBody.component.section.entry.observation.code.translation.displayName,4,"['Never smoker', 'Tobacco use']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.entryRelationship.observation.code.codeSystemName,36,['LOINC']
ClinicalDocument.component.structuredBody.component.section.entry.procedure.moodCode,290,"['EVN', 'INT', 'RQO']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.entryRelationship.act.entryRelationship.observation.moodCode,50,['EVN']
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.performer.assignedEntity.assignedPerson.name.suffix.@value,28,"['MD', 'RN']"
ClinicalDocument.component.structuredBody.component.section.entry.encounter.performer.assignedEntity.classCode,6,['ASSIGNED']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.negationInd,2,['true']
ClinicalDocument.component.structuredBody.component.section.entry.organizer.component.observation.informant.assignedEntity.representedOrganization.addr.state.@value,2,['FL']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.performer.assignedEntity.telecom.use,8,['WP']
ClinicalDocument.component.structuredBody.component.section.entry.observation.value.translation.codeSystemName,202,"['CERNER', 'ICD-10', 'ICD-10-CM', 'ICD-9', 'ICD-9-CM', 'IMO ProblemIT', 'MEDCIN', 'SNOMED-CT']"
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.act.entryRelationship.act.entryRelationship.procedure.classCode,2,['PROC']
ClinicalDocument.component.structuredBody.component.section.entry.act.entryRelationship.observation.performer.assignedEntity.id.extension,36,"['1111111111', '1569874562', '5860476014', '67', '68']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.act.entryRelationship.observation.value.code,2,['55607006']
ClinicalDocument.component.structuredBody.component.section.entry.act.performer.assignedEntity.representedOrganization.telecom.value,2,"['tel:+1-916-555-7654', 'tel:+1-916-555-7657']"
ClinicalDocument.documentationOf.serviceEvent.performer.time.low.nullFlavor,30,"['NI', 'UNK']"
ClinicalDocument.component.structuredBody.component.section.entry.substanceAdministration.entryRelationship.supply.performer.assignedEntity.classCode,2,['ASSIGNED']
